path,split,material,defect_type,mask_path,attributes
../../data/MVTec/carpet/train/good/000.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/001.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/002.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/003.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/004.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/005.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/006.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/007.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/008.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/009.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/010.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/011.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/012.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/013.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/014.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/015.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/016.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/017.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/018.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/019.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/020.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/021.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/022.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/023.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/024.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/025.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/026.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/027.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/028.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/029.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/030.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/031.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/032.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/033.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/034.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/035.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/036.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/037.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/038.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/039.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/040.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/041.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/042.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/043.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/044.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/045.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/046.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/047.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/048.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/049.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/050.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/051.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/052.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/053.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/054.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/055.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/056.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/057.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/058.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/059.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/060.png,train,carpet,good,,
../../data/MVTec/carpet/train/good/061.png,train,carpet,good,,
